OrderID,Date,Product,Region,Sales,Profit
2106,05/14/2023,Smartphone,South,1870,653
2107,09/15/2023,Laptop,West,1097,326
2108,01/19/2023,Mouse,East,1024,128
2109,05/04/2023,Smartphone,Central,1691,319
2110,05/17/2023,Laptop,East,289,53
2111,03/18/2023,Laptop,Central,1307,215
2112,10/22/2023,Tablet,North,1985,518
2113,03/23/2023,Monitor,East,1535,157
2114,05/07/2023,Smartphone,West,1612,433
2115,11/27/2023,Keyboard,South,1638,502
2116,05/18/2023,Printer,South,1487,364
2117,03/31/2023,Keyboard,South,1938,719
2118,10/19/2023,Monitor,North,200,30
2119,02/24/2023,Tablet,North,782,158
2120,07/10/2023,Printer,East,52,13
2121,10/08/2023,Monitor,Central,486,185
2122,09/19/2023,Keyboard,East,803,319
2123,05/05/2023,Smartphone,East,1787,614
2124,12/15/2023,Laptop,South,1396,239
2125,01/20/2023,Mouse,East,1396,291
2126,08/06/2023,Printer,East,241,80
2127,11/20/2023,Smartphone,West,376,119
2128,08/03/2023,Keyboard,South,973,222
2129,01/24/2023,Smartphone,Central,1017,310
2130,05/29/2023,Tablet,South,228,88
2131,02/26/2023,Monitor,West,485,98
2132,11/07/2023,Keyboard,North,471,160
2133,03/19/2023,Smartphone,North,101,15
2134,05/14/2023,Printer,West,1603,210
2135,04/02/2023,Mouse,South,332,49
2136,10/05/2023,Mouse,North,1106,313
2137,04/04/2023,Printer,West,381,141
2138,04/07/2023,Tablet,South,430,50
2139,11/27/2023,Monitor,Central,1053,169
2140,01/01/2023,Laptop,West,210,22
2141,02/17/2023,Printer,South,1862,501
2142,07/10/2023,Monitor,South,1877,461
2143,12/04/2023,Mouse,Central,1544,257
2144,03/14/2023,Tablet,South,1121,329
2145,02/04/2023,Printer,Central,1662,484
2146,11/28/2023,Monitor,Central,1166,223
2147,11/07/2023,Mouse,Central,616,137
2148,03/26/2023,Mouse,Central,950,99
2149,08/23/2023,Mouse,North,343,134
2150,02/09/2023,Smartphone,Central,1338,173
2151,08/18/2023,Smartphone,North,795,137
2152,05/31/2023,Tablet,South,1953,514
2153,02/11/2023,Smartphone,East,1971,528
2154,02/27/2023,Smartphone,West,109,41
2155,11/05/2023,Laptop,South,723,93
2156,06/24/2023,Keyboard,East,1995,487
2157,02/26/2023,Monitor,East,729,263
2158,10/07/2023,Mouse,West,1438,419
2159,02/09/2023,Printer,North,1913,321
2160,12/17/2023,Mouse,South,528,178
2161,09/21/2023,Keyboard,North,123,36
2162,12/30/2023,Keyboard,West,431,169
2163,01/06/2023,Keyboard,North,760,215
2164,02/26/2023,Tablet,South,1133,187
2165,06/02/2023,Printer,South,82,14
2166,08/02/2023,Keyboard,North,326,118
2167,05/09/2023,Keyboard,West,325,66
2168,08/12/2023,Smartphone,North,390,125
2169,05/20/2023,Tablet,North,284,33
2170,08/16/2023,Monitor,North,1953,249
2171,12/02/2023,Mouse,East,473,95
2172,08/17/2023,Mouse,East,1215,330
2173,07/20/2023,Smartphone,Central,379,79
2174,02/23/2023,Mouse,West,399,110
2175,10/24/2023,Laptop,South,546,162
2176,05/26/2023,Laptop,North,950,241
2177,12/20/2023,Tablet,West,1384,524
2178,02/01/2023,Mouse,West,670,158
2179,11/22/2023,Monitor,Central,829,179
2180,02/27/2023,Smartphone,South,1661,367
2181,03/10/2023,Smartphone,North,853,254
2182,11/13/2023,Tablet,Central,1882,414
2183,06/01/2023,Printer,North,372,136
2184,12/20/2023,Printer,Central,1298,448
2185,10/21/2023,Tablet,North,1756,679
2186,03/25/2023,Monitor,East,876,181
2187,11/08/2023,Laptop,North,609,154
2188,01/05/2023,Keyboard,East,196,76
2189,02/27/2023,Keyboard,North,1024,222
2190,03/26/2023,Smartphone,East,404,127
2191,05/29/2023,Monitor,East,452,149
2192,07/09/2023,Smartphone,West,651,129
2193,03/11/2023,Keyboard,East,1939,679
2194,03/02/2023,Laptop,South,56,14
2195,08/01/2023,Smartphone,North,214,55
2196,06/09/2023,Tablet,East,845,135
2197,02/28/2023,Tablet,North,842,209
2198,03/11/2023,Printer,West,174,49
2199,06/26/2023,Smartphone,Central,1168,405
2200,06/20/2023,Mouse,Central,1002,228
2201,07/05/2023,Laptop,North,1204,387
2202,08/14/2023,Printer,South,1660,195
2203,05/02/2023,Monitor,Central,728,134
2204,01/27/2023,Monitor,Central,1131,262
2205,02/01/2023,Laptop,North,852,309
2206,09/20/2023,Smartphone,Central,512,172
2207,08/26/2023,Printer,North,1211,335
2208,03/03/2023,Monitor,East,1428,323
2209,02/06/2023,Mouse,South,1380,549
2210,08/09/2023,Laptop,West,1722,271
2211,03/06/2023,Monitor,North,709,133
2212,05/01/2023,Tablet,North,1612,490
2213,07/05/2023,Mouse,East,1067,314
2214,09/11/2023,Smartphone,Central,1320,370
2215,06/29/2023,Tablet,South,444,72
2216,05/17/2023,Smartphone,West,1146,440
2217,02/09/2023,Mouse,Central,1900,220
2218,09/09/2023,Monitor,West,1050,120
2219,05/06/2023,Smartphone,West,1252,390
2220,02/23/2023,Laptop,Central,926,300
2221,01/22/2023,Tablet,East,783,151
2222,10/26/2023,Mouse,East,1077,200
2223,01/10/2023,Laptop,South,223,25
2224,07/18/2023,Laptop,South,1030,290
2225,08/06/2023,Keyboard,South,969,193
2226,10/26/2023,Keyboard,North,1733,215
2227,03/29/2023,Tablet,Central,1599,397
2228,12/16/2023,Printer,Central,1984,580
2229,09/22/2023,Laptop,East,600,175
2230,09/04/2023,Mouse,South,152,46
2231,08/07/2023,Mouse,West,1215,397
2232,06/22/2023,Monitor,East,1692,414
2233,01/05/2023,Laptop,North,867,182
2234,10/23/2023,Tablet,Central,1487,466
2235,03/01/2023,Monitor,North,1910,695
2236,10/21/2023,Keyboard,North,987,275
2237,05/01/2023,Laptop,Central,1041,104
2238,10/16/2023,Printer,West,150,32
2239,02/11/2023,Smartphone,East,1542,573
2240,10/07/2023,Printer,South,1171,342
2241,06/27/2023,Laptop,East,825,240
2242,03/14/2023,Keyboard,East,1949,392
2243,02/07/2023,Monitor,East,1970,595
2244,03/31/2023,Monitor,Central,437,58
2245,10/23/2023,Mouse,East,188,29
2246,11/08/2023,Smartphone,West,1661,172
2247,02/11/2023,Tablet,North,1944,766
2248,02/26/2023,Mouse,East,1229,200
2249,01/03/2023,Monitor,Central,1173,158
2250,12/26/2023,Printer,Central,723,179
2251,06/10/2023,Tablet,East,673,238
2252,02/21/2023,Keyboard,South,1307,282
2253,12/09/2023,Keyboard,North,1603,259
2254,05/26/2023,Smartphone,North,191,75
2255,03/29/2023,Tablet,Central,1265,462
2256,07/01/2023,Laptop,Central,776,204
2257,06/17/2023,Mouse,South,884,125
2258,12/11/2023,Monitor,North,150,33
2259,10/31/2023,Printer,West,625,167
2260,09/17/2023,Tablet,East,1800,433
2261,08/22/2023,Smartphone,West,546,89
2262,05/04/2023,Tablet,East,709,145
2263,12/28/2023,Smartphone,East,65,17
2264,11/06/2023,Tablet,East,1524,334
2265,04/11/2023,Mouse,East,447,134
2266,04/19/2023,Smartphone,East,479,185
2267,12/04/2023,Keyboard,Central,1516,226
2268,05/08/2023,Laptop,North,445,96
2269,10/15/2023,Printer,Central,733,173
2270,02/14/2023,Monitor,Central,484,97
2271,05/02/2023,Mouse,South,380,60
2272,05/21/2023,Laptop,East,251,92
2273,01/11/2023,Keyboard,West,1023,375
2274,12/31/2023,Tablet,West,1188,173
2275,12/03/2023,Laptop,Central,800,268
2276,12/10/2023,Tablet,South,244,31
2277,10/23/2023,Smartphone,West,1656,302
2278,12/17/2023,Smartphone,North,1334,426
2279,01/04/2023,Monitor,East,845,241
2280,07/22/2023,Keyboard,West,1986,218
2281,02/27/2023,Keyboard,West,1158,236
2282,12/12/2023,Smartphone,North,88,22
2283,08/22/2023,Laptop,North,431,97
2284,04/12/2023,Smartphone,West,741,168
2285,12/20/2023,Tablet,East,1199,367
2286,11/19/2023,Monitor,West,1415,451
2287,12/10/2023,Printer,Central,1178,324
2288,06/21/2023,Smartphone,North,607,193
2289,02/01/2023,Tablet,South,778,79
2290,05/19/2023,Keyboard,South,1083,393
2291,10/15/2023,Printer,North,815,175
2292,01/25/2023,Keyboard,East,686,187
2293,09/22/2023,Monitor,Central,1123,268
2294,06/13/2023,Printer,West,158,20
2295,09/24/2023,Tablet,East,125,28
2296,09/23/2023,Smartphone,North,1586,336
2297,09/29/2023,Keyboard,East,1267,250
2298,06/25/2023,Mouse,East,1664,539
2299,02/07/2023,Smartphone,West,1754,280
2300,03/18/2023,Laptop,South,499,191
2301,01/26/2023,Laptop,Central,595,158
2302,07/26/2023,Keyboard,South,275,41
2303,11/04/2023,Tablet,West,1347,347
2304,05/19/2023,Keyboard,West,509,61
2305,07/04/2023,Keyboard,East,1503,388
2306,05/05/2023,Laptop,Central,1117,238
2307,07/12/2023,Laptop,West,79,26
2308,08/22/2023,Printer,East,1943,501
2309,02/13/2023,Smartphone,North,160,45
2310,08/24/2023,Laptop,West,102,15
2311,03/23/2023,Mouse,South,1449,385
2312,12/26/2023,Tablet,East,1931,311
2313,07/13/2023,Printer,East,1354,419
2314,05/03/2023,Laptop,West,1185,154
2315,06/28/2023,Printer,South,879,282
2316,12/23/2023,Monitor,Central,655,105
2317,05/25/2023,Laptop,Central,1244,393
2318,07/18/2023,Smartphone,East,887,332
2319,10/20/2023,Monitor,East,1749,263
2320,01/05/2023,Smartphone,East,1431,177
2321,07/25/2023,Keyboard,North,766,276
2322,12/18/2023,Tablet,East,1227,220
2323,12/09/2023,Mouse,East,773,256
2324,10/11/2023,Tablet,East,405,50
2325,02/24/2023,Smartphone,North,1628,176
2326,12/25/2023,Monitor,Central,1170,308
2327,09/20/2023,Tablet,Central,1214,296
2328,12/10/2023,Smartphone,North,317,102
2329,08/26/2023,Tablet,Central,552,103
2330,12/16/2023,Printer,South,715,159
2331,07/12/2023,Tablet,South,1412,349
2332,07/11/2023,Monitor,South,1678,463
2333,06/19/2023,Mouse,East,1283,184
2334,01/07/2023,Smartphone,West,884,96
2335,12/13/2023,Printer,North,952,380
2336,04/02/2023,Smartphone,North,1758,331
2337,04/25/2023,Keyboard,Central,752,196
2338,04/17/2023,Mouse,North,1734,684
2339,05/23/2023,Smartphone,North,1948,663
2340,02/09/2023,Smartphone,North,1023,129
2341,07/03/2023,Printer,South,1485,497
2342,10/05/2023,Smartphone,North,1132,166
2343,06/24/2023,Keyboard,West,89,23
2344,07/30/2023,Keyboard,Central,1367,498
2345,12/10/2023,Printer,East,1355,492
2346,04/23/2023,Tablet,Central,1929,649
2347,01/20/2023,Smartphone,South,1206,375
2348,09/10/2023,Monitor,South,728,232
2349,11/11/2023,Smartphone,South,450,85
2350,06/15/2023,Tablet,West,629,117
2351,06/22/2023,Keyboard,Central,677,87
2352,05/29/2023,Laptop,South,233,77
2353,12/14/2023,Laptop,Central,1410,491
2354,01/01/2023,Tablet,East,1820,275
2355,09/22/2023,Mouse,North,1178,235
2356,05/12/2023,Mouse,Central,1861,364
2357,02/26/2023,Printer,East,1735,542
2358,01/03/2023,Tablet,East,75,12
2359,10/29/2023,Tablet,North,808,164
2360,04/27/2023,Printer,Central,673,69
2361,07/18/2023,Monitor,North,78,29
2362,04/16/2023,Keyboard,North,1912,490
2363,10/19/2023,Laptop,South,1597,251
2364,09/28/2023,Mouse,South,1221,346
2365,12/25/2023,Mouse,North,559,86
2366,04/08/2023,Laptop,West,1218,225
2367,01/05/2023,Tablet,North,166,47
2368,11/15/2023,Mouse,East,1819,585
2369,12/11/2023,Printer,North,525,78
2370,06/05/2023,Printer,West,815,92
2371,05/25/2023,Tablet,North,123,35
2372,11/19/2023,Tablet,South,1172,203
2373,06/05/2023,Smartphone,East,637,207
2374,03/26/2023,Monitor,North,1464,363
2375,09/18/2023,Mouse,East,1450,354
2376,02/25/2023,Monitor,West,60,23
2377,03/30/2023,Smartphone,Central,1414,525
2378,01/04/2023,Laptop,West,1179,348
2379,02/04/2023,Laptop,East,1733,279
2380,03/13/2023,Keyboard,West,1733,427
2381,08/06/2023,Keyboard,South,1817,708
2382,10/11/2023,Monitor,East,1025,342
2383,07/10/2023,Printer,West,1715,367
2384,10/16/2023,Tablet,South,493,106
2385,10/11/2023,Tablet,South,1977,656
2386,03/15/2023,Laptop,Central,1714,370
2387,08/28/2023,Monitor,East,826,308
2388,01/07/2023,Smartphone,South,1626,553
2389,09/25/2023,Printer,South,421,168
2390,04/10/2023,Smartphone,South,1008,202
2391,11/06/2023,Monitor,East,1506,431
2392,04/02/2023,Mouse,North,1890,301
2393,11/10/2023,Smartphone,South,1970,546
2394,12/08/2023,Tablet,West,120,46
2395,02/23/2023,Keyboard,West,295,69
2396,05/17/2023,Mouse,West,140,27
2397,02/03/2023,Keyboard,South,588,93
2398,12/07/2023,Monitor,Central,394,80
2399,10/26/2023,Laptop,Central,1964,204
2400,05/19/2023,Smartphone,South,862,283
2401,10/07/2023,Mouse,West,1163,315
2402,07/01/2023,Monitor,East,1687,401
2403,08/06/2023,Mouse,North,1447,493
2404,07/07/2023,Smartphone,East,602,116
2405,03/14/2023,Printer,West,1396,315
2406,05/03/2023,Laptop,West,1101,124
2407,09/25/2023,Tablet,East,1084,167
2408,05/27/2023,Monitor,Central,1659,292
2409,11/01/2023,Laptop,North,502,117
2410,01/02/2023,Tablet,Central,1505,256
2411,07/31/2023,Tablet,East,1710,666
2412,06/30/2023,Tablet,North,167,26
2413,02/21/2023,Mouse,South,612,136
2414,01/23/2023,Mouse,West,50,10
2415,11/10/2023,Keyboard,North,681,204
2416,06/08/2023,Mouse,East,1388,387
2417,11/25/2023,Keyboard,South,548,109
2418,11/11/2023,Keyboard,South,732,153
2419,06/07/2023,Mouse,North,523,163
2420,04/05/2023,Printer,Central,788,243
2421,10/16/2023,Laptop,Central,406,148
2422,04/29/2023,Keyboard,Central,734,222
2423,03/26/2023,Monitor,West,943,332
2424,05/12/2023,Printer,West,1343,390
2425,03/06/2023,Printer,West,365,110
2426,01/02/2023,Tablet,North,1682,261
2427,08/11/2023,Tablet,South,995,172
2428,10/07/2023,Keyboard,East,86,29
2429,02/07/2023,Mouse,Central,1835,341
2430,06/26/2023,Laptop,South,1151,122
2431,01/31/2023,Laptop,Central,676,248
2432,11/16/2023,Mouse,East,750,116
2433,07/15/2023,Smartphone,East,302,32
2434,07/31/2023,Mouse,Central,1191,159
2435,09/19/2023,Mouse,Central,956,282
2436,05/08/2023,Mouse,South,461,167
2437,09/12/2023,Mouse,North,917,305
2438,07/09/2023,Mouse,East,789,156
2439,09/17/2023,Laptop,West,1161,376
2440,11/08/2023,Keyboard,Central,1554,450
2441,08/22/2023,Tablet,South,655,80
2442,12/21/2023,Smartphone,South,1292,390
2443,07/12/2023,Smartphone,West,1243,352
2444,02/20/2023,Tablet,North,1505,580
2445,06/20/2023,Mouse,Central,1546,396
2446,02/24/2023,Laptop,West,1299,282
2447,07/23/2023,Printer,Central,1605,568
2448,12/10/2023,Keyboard,East,1325,236
2449,11/15/2023,Tablet,East,1885,495
2450,04/24/2023,Printer,West,1552,205
2451,10/24/2023,Laptop,East,1383,541
2452,07/16/2023,Tablet,West,370,40
2453,11/11/2023,Monitor,South,471,69
2454,05/12/2023,Mouse,South,523,101
2455,05/07/2023,Smartphone,East,321,124
2456,02/12/2023,Tablet,North,460,170
2457,07/08/2023,Printer,South,1183,221
2458,06/27/2023,Monitor,South,309,68
2459,10/07/2023,Tablet,East,1730,537
2460,03/23/2023,Keyboard,North,1472,202
2461,02/16/2023,Laptop,East,1729,248
2462,12/15/2023,Keyboard,South,1079,386
2463,10/26/2023,Mouse,South,612,202
2464,03/30/2023,Keyboard,West,1037,395
2465,01/13/2023,Tablet,Central,1474,329
2466,11/16/2023,Smartphone,East,1317,411
2467,12/11/2023,Printer,East,593,91
2468,02/23/2023,Smartphone,East,550,105
2469,08/13/2023,Keyboard,East,1627,190
2470,05/17/2023,Monitor,Central,1925,624
2471,05/06/2023,Smartphone,West,1686,619
2472,06/20/2023,Mouse,South,1746,547
2473,01/13/2023,Monitor,North,237,50
2474,03/26/2023,Smartphone,East,1483,439
2475,04/07/2023,Smartphone,Central,438,156
2476,01/17/2023,Tablet,North,713,282
2477,04/01/2023,Laptop,South,1765,533
2478,11/29/2023,Laptop,West,558,200
2479,06/17/2023,Keyboard,South,1009,342
2480,02/26/2023,Monitor,West,1650,623
2481,01/12/2023,Laptop,Central,1550,284
2482,07/31/2023,Printer,North,1095,426
2483,10/18/2023,Smartphone,Central,795,287
2484,08/07/2023,Mouse,Central,1899,457
2485,10/24/2023,Monitor,West,1472,540
2486,11/15/2023,Printer,North,1603,557
2487,01/08/2023,Printer,North,915,302
2488,03/24/2023,Tablet,Central,568,139
2489,10/23/2023,Tablet,West,429,78
2490,12/19/2023,Smartphone,South,228,80
2491,04/07/2023,Laptop,East,113,24
2492,04/16/2023,Tablet,Central,597,191
2493,07/29/2023,Printer,North,793,96
2494,01/26/2023,Printer,North,1252,225
2495,04/23/2023,Mouse,South,1200,126
2496,03/18/2023,Tablet,West,1180,322
2497,06/25/2023,Smartphone,East,841,136
2498,12/22/2023,Tablet,South,581,155
2499,06/03/2023,Mouse,East,499,94
2500,05/24/2023,Monitor,North,663,76
2501,06/14/2023,Printer,South,1222,366
2502,05/12/2023,Mouse,South,316,80
2503,07/27/2023,Smartphone,South,529,67
2504,09/15/2023,Keyboard,Central,492,136
2505,04/25/2023,Mouse,Central,458,80
2506,03/05/2023,Laptop,West,1814,225
2507,11/08/2023,Keyboard,South,1402,267
2508,09/01/2023,Printer,East,908,103
2509,09/16/2023,Laptop,West,60,21
2510,07/21/2023,Keyboard,South,705,219
2511,02/21/2023,Printer,North,1357,200
2512,05/14/2023,Monitor,Central,1453,458
2513,08/29/2023,Monitor,West,1261,145
2514,04/27/2023,Keyboard,North,1958,372
2515,01/27/2023,Laptop,North,857,226
2516,01/19/2023,Monitor,East,288,62
2517,04/23/2023,Keyboard,Central,413,47
2518,10/12/2023,Smartphone,West,1187,466
2519,01/08/2023,Printer,North,1745,209
2520,03/08/2023,Monitor,South,510,138
2521,07/03/2023,Mouse,Central,969,251
2522,06/16/2023,Monitor,North,1073,252
2523,03/25/2023,Smartphone,East,1749,175
2524,06/28/2023,Monitor,South,288,78
2525,11/30/2023,Mouse,Central,1104,270
2526,12/19/2023,Laptop,Central,571,141
2527,07/08/2023,Mouse,East,1506,518
2528,09/07/2023,Printer,Central,1159,427
2529,09/22/2023,Keyboard,South,1910,492
2530,09/20/2023,Mouse,West,1009,136
2531,04/29/2023,Printer,North,690,114
2532,02/24/2023,Tablet,West,1172,266
2533,09/26/2023,Mouse,South,543,212
2534,12/28/2023,Printer,East,1491,426
2535,10/04/2023,Tablet,South,1157,217
2536,03/25/2023,Printer,West,1136,438
2537,05/04/2023,Laptop,South,1015,276
2538,02/01/2023,Keyboard,West,1948,584
2539,12/04/2023,Monitor,East,2000,416
2540,11/11/2023,Keyboard,West,1124,279
2541,05/17/2023,Mouse,South,1594,392
2542,11/09/2023,Monitor,Central,118,18
2543,03/09/2023,Smartphone,East,1435,197
2544,03/23/2023,Monitor,North,878,302
2545,05/09/2023,Smartphone,East,1458,550
2546,02/13/2023,Smartphone,Central,105,17
2547,07/04/2023,Tablet,Central,1013,304
2548,03/08/2023,Tablet,West,1796,575
2549,07/09/2023,Keyboard,South,915,116
2550,06/12/2023,Printer,North,1826,388
2551,05/17/2023,Monitor,Central,456,78
2552,09/10/2023,Keyboard,West,1761,422
2553,05/11/2023,Printer,South,1863,608
2554,01/26/2023,Tablet,North,1603,198
2555,12/23/2023,Keyboard,East,929,132
2556,05/17/2023,Smartphone,East,792,310
2557,12/27/2023,Keyboard,East,1463,499
2558,06/14/2023,Laptop,East,743,228
2559,09/12/2023,Tablet,South,1439,184
2560,09/29/2023,Keyboard,West,1188,354
2561,12/31/2023,Monitor,North,1377,350
2562,09/28/2023,Laptop,West,435,45
2563,11/01/2023,Laptop,North,1333,479
2564,12/24/2023,Tablet,South,523,189
2565,01/13/2023,Smartphone,East,146,22
2566,10/19/2023,Laptop,West,1123,287
2567,11/13/2023,Tablet,East,1075,160
2568,04/13/2023,Mouse,East,1119,393
2569,10/17/2023,Smartphone,North,1153,451
2570,02/05/2023,Tablet,South,443,87
2571,11/16/2023,Laptop,East,1732,655
2572,02/23/2023,Monitor,North,1080,232
2573,12/09/2023,Printer,South,539,98
2574,04/04/2023,Printer,East,1240,393
2575,10/23/2023,Mouse,East,1342,163
2576,10/30/2023,Tablet,South,474,72
2577,07/25/2023,Laptop,North,1914,658
2578,07/20/2023,Monitor,East,838,125
2579,09/12/2023,Monitor,South,264,94
2580,07/13/2023,Monitor,Central,407,146
2581,02/21/2023,Keyboard,Central,1399,342
2582,07/07/2023,Printer,Central,1533,521
2583,06/12/2023,Smartphone,West,1136,121
2584,01/23/2023,Smartphone,West,1967,237
2585,06/23/2023,Keyboard,South,154,18
2586,12/12/2023,Tablet,West,1416,460
2587,11/05/2023,Printer,North,794,146
2588,08/07/2023,Keyboard,Central,1939,717
2589,09/14/2023,Keyboard,East,307,84
2590,09/07/2023,Printer,West,1953,236
2591,01/25/2023,Keyboard,West,1842,452
2592,02/16/2023,Mouse,West,1817,191
2593,04/11/2023,Monitor,Central,347,43
2594,12/21/2023,Mouse,North,1082,305
2595,12/18/2023,Smartphone,East,174,37
2596,11/19/2023,Monitor,East,1876,211
2597,05/22/2023,Smartphone,South,980,114
2598,02/11/2023,Tablet,North,1562,341
2599,12/07/2023,Smartphone,West,1824,218
2600,04/20/2023,Smartphone,Central,680,176
2601,03/11/2023,Mouse,North,1548,217
2602,09/01/2023,Laptop,South,1382,153
2603,12/30/2023,Laptop,North,1030,154
2604,09/10/2023,Smartphone,North,1267,166
2605,08/13/2023,Mouse,North,97,20
2606,08/04/2023,Mouse,Central,1349,222
2607,01/22/2023,Tablet,East,1636,473
2608,01/10/2023,Keyboard,East,1395,420
2609,10/30/2023,Keyboard,South,1023,330
2610,03/04/2023,Printer,East,888,191
2611,12/16/2023,Tablet,East,1908,341
2612,05/23/2023,Monitor,West,1101,335
2613,10/23/2023,Keyboard,West,1227,208
2614,05/08/2023,Mouse,West,724,98
2615,08/24/2023,Printer,Central,1587,461
2616,10/23/2023,Keyboard,North,1817,717
2617,02/02/2023,Mouse,West,801,87
2618,03/03/2023,Smartphone,West,231,39
2619,09/29/2023,Printer,West,1461,448
2620,11/25/2023,Tablet,West,1676,522
2621,01/23/2023,Mouse,South,1814,717
2622,09/05/2023,Keyboard,South,687,230
2623,03/11/2023,Laptop,East,1876,634
2624,05/03/2023,Monitor,North,274,28
2625,06/27/2023,Smartphone,East,160,38
2626,10/04/2023,Smartphone,East,1504,530
2627,10/01/2023,Mouse,North,885,100
2628,03/07/2023,Tablet,East,1849,519
2629,02/07/2023,Printer,South,1950,218
2630,02/20/2023,Mouse,Central,443,137
2631,05/19/2023,Laptop,South,860,298
2632,07/16/2023,Tablet,Central,884,97
2633,12/02/2023,Tablet,West,1411,287
2634,05/16/2023,Tablet,South,1573,393
2635,11/01/2023,Monitor,South,823,234
2636,11/18/2023,Mouse,South,1196,329
2637,12/22/2023,Keyboard,East,1617,488
